event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000183597	-0.04,0.02,0.03,0.02,0.00,-0.06,0.04,-0.01,0.08,0.00,-0.00,-0.05,-0.01,-0.00,-0.01,0.00	0.08	0.24
gene:ENSG00000100348	0.00,-0.01,0.05,-0.05	0.05	0.23
gene:ENSG00000183530	0.02,0.01,-0.00,-0.01,-0.02	0.02	0.23
gene:ENSG00000185651	0.06,-0.05,-0.01	0.06	0.23
gene:ENSG00000100221	0.01,-0.03,-0.00,-0.00,0.00,0.01	0.03	0.22
gene:ENSG00000100422	0.03	0.03	0.21
gene:ENSG00000100304	0.02	0.02	0.2
gene:ENSG00000100316	0.02,-0.02,-0.00,0.00,-0.01,0.01	0.02	0.2
gene:ENSG00000100031	-0.03,0.01,-0.00,-0.01,0.01,0.02,-0.04,-0.00,-0.00,0.01,-0.05,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.01,-0.01,0.01,-0.03,-0.01	0.05	0.19
gene:ENSG00000100056	0.04	0.04	0.19
gene:ENSG00000130489	0.05	0.05	0.18
gene:ENSG00000183741	0.03	0.03	0.18
gene:ENSG00000183864	-0.01	0.01	0.17
gene:ENSG00000183765	-0.00,0.01,-0.02,0.00,0.01,-0.06,0.01,-0.00,-0.01,0.02,0.00,0.03,0.01,0.00,-0.00,0.01,-0.00,-0.02,-0.01,-0.01,0.03,-0.02,0.03,-0.01,0.00	0.06	0.16
gene:ENSG00000100150	0.00,-0.00,0.00,-0.01,-0.01,0.01,0.01,-0.01,-0.00,-0.00,0.00,-0.01,-0.00,0.00,0.01,0.00,0.01,-0.00,-0.00,0.01,-0.01,-0.00,-0.00,-0.00,0.01,-0.02,0.01,-0.01,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.01,0.00,0.00,0.01,0.00	0.02	0.14
gene:ENSG00000100129	-0.01,-0.01,0.00,-0.02,0.01,0.03,0.00,0.00,-0.00	0.03	0.13
gene:ENSG00000187051	-0.01	0.01	0.13
gene:ENSG00000198911	0.01,-0.00,-0.01,-0.00	0.01	0.1
gene:ENSG00000100292	-0.03	0.03	0.09
gene:ENSG00000100345	0.00,-0.00,0.00	0	0.06
gene:ENSG00000099942	0.00	0	0.05
gene:ENSG00000100412	0.00	0	0.05
gene:ENSG00000100097	0.00,0.00,-0.00	0	0
